id,new,title,description,summary,keywords,platforms,copying-policy,sha
7zip,,7zip,Outil de crÇation d'archives 7-Zip,7-Zip est un utilitaire de compression libre et open source qui prend en charge de nombreux format d'archivage avec les meilleurs ratios de compression.,"7z, 7za, 7zm, 7zr, 7zdec, archivage, compression, dÇcompression, dÇpaqueter",DOS,Public Domain,e7b7e1a167f2e8839428e48df24766daa5a8526853d4fb3b622c3a803b2286ea
adplay,,AdPlay,Lecteur de musique multi-formats qui utilise l'audio OPL2/3,Un lecteur de musique multi-formats qui utilise l'audio OPL2/3,"adplay,adplug",DOS,Licence zlib/libpng,4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366
aefdisk,,aefdisk,Utilitaire de partitionnement de disque pour DOS pilotÇ par la ligne de commande (portÇ pour Open Watcom),,dos fdisk partition,DOS,"Licence publique gÇnÇrale GNU, version 2",2ba7c24edb8b4f1fd4513b671cd919f2b9a0666784c46836a946ba3ab64d0c51
ambhelp,,FreeDOS Help,Les fichiers d'aide de FreeDOS au format AMB,"Les fichiers d'aide de FreeDOS au format AMB. Afin de lire les fichiers au format AMB, installez Çgalement le lecteur AMB depuis le paquet AMBREAD.","freedos, aide, doc, texte, amb",DOS,"Licence de documentation libre GNU, version 1.1",f5bf51c293c9906b37c6c5b63860571f1f54c54a3c1455d1708df192fd66acfe
ambpack,,AMB Packager,Gestionnaire d'archives qui empaquette et ouvre les fichiers AMB (Ancient Machine Book),,"texte, doc, gestionnaire d'archives",DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,AMB Reader,Le lecteur du format Ancient Machine Book,"AMB est un lecteur de fichiers AMB (Livres Anciens pour Machines). AMB signifie Livres Anciens pour Machines. C'est un format de fichier extràmement lÇger destinÇ Ö stocker n'importe quel type de documentation hypertexte pouvant àtre visionnÇe confortablement, màme sur les ordinateurs les plus anciens: manuels techniques, livres, etc.","texte, doc, lecteur",DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,Visionneur graphique pour les fichiers ANSI,ANSiMat est un visionneur graphique pour les fichiers ANSI. Il peut aussi àtre utilisÇ pour convertir les fichiers ANSI en fichiers graphiques habituels (BMP/PCX/PPM/TGA/TIF) ou en animations FLC (FliC).,"ansi, visionneur",DOS,"Licence publique gÇnÇrale GNU, version 3",eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0
append,,APPEND,AccÇder aux fichiers comme si dans le dossier courant,APPEND permet aux programmes d'ouvrir les fichiers de donnÇes dans les rÇpertoires spÇcifiÇs comme si les fichiers se trouvaient dans le rÇpertoire courant.,"freedos, joindre, donnÇes, fichiers, rÇpertoires",DOS (nasm),"Licence publique gÇnÇrale GNU, version 2",e6d494992b1a5950db3218cafae9025f49842786af2c3c8e96a4490439ce8197
arachne,,Arachne,Navigateur web pour DOS (8086 & i386),Un navigateur web pour DOS avec Ö la fois une version 8086 et i386.,"rÇseau, www, navigateur",DOS,"Licence publique gÇnÇrale GNU, version 2",b0f1fd2efd113cf72872efeebfde7d02475488715ab870f795691dd364bdaec5
arj,,ARJ,Le gestionnaire d'archives ARJ libre.,,,DOS,"Licence publique gÇnÇrale GNU, version 2",932b722d7c4e3f94704774b4ea54d53d99808e2bcfb5410346fbfe6819158709
assign,,assign,Attribuer une nouvelle lettre Ö un lecteur,Attribuer une lettre de lecteur Ö un lecteur diffÇrent,"freedos, attribuer",dos,"Licence publique gÇnÇrale GNU, version 2",be4ee0d564b2695a9595891264f6f19d56d975427df0cc91ba3da2a23e2d1f2a
atapicdd,,ATAPICDD,Pilote de pÇriphÇrique CD-ROM du domaine public ATAPI (IDE) DOS,,pilote de pÇriphÇrique DOS CD-ROM,DOS (NASM/TASM),Domaine public,500a557e1aab84fc6f609c631a251792c44408242cdda8d654dc08e88ddd0ba8
attrib,,attrib,Afficher et dÇfinir les attributs de fichiers,Afficher et dÇfinir les attributs de fichiers.,"freedos, attrib",dos,"Licence publique gÇnÇrale GNU, version 2",e3bf5b785f4d41a9ebd07dc3f61fb2350a27a5ed9d420145acad6863145ba2b9
b64,,b64,Codage de transfert de contenu Base64,Utilitaire qui implÇmente le standard de codage de transfert de contenu Base64 dÇcrit dans la RFC1113.,"b64,base64",DOS,Licence MIT,a098c8132f6ca962ed7d258aa60e76201b65f38bde0ac751e713fd2903e55d24
bcc,,bcc - Bruce's C compiler,Compilateur C simple qui produit de l'assembleur 8086 pour les petits modäles.,Bruce's C compiler est un compilateur C simple qui produit de l'assembleur 8086 pour les petits modäles.,"K&R,C89,C,compilateur",DOS,"Licence publique gÇnÇrale GNU, version 2",d0fb57da0ed806888270c3b46ae7d0d8d54da2bb0896b6d68dc0a66752243bf0
biew,,Beye,Biew est un Çditeur binaire/hexadÇcimal,Biew est un visionneur/Çditeur binaire/hexadÇcimal. (nÇcessite i686+),"Biew, binaire, hexadÇcimal, visionneur, Çditeur",DOS,Licence publique gÇnÇrale GNU,37c9334ac4bfbb6d484a432538bd0abd33dacdc2cb36d3b49035e13cce428b86
bladeenc,,BladeEnc,GÇnäre des fichiers MP3 depuis WAV/AIFF/RAW,Blade's MP3 Encoder gÇnäre des fichiers MP3 depuis des donnÇes WAV/AIFF/RAW,"mp3, encodeur",DOS,"Licence publique gÇnÇrale limitÇe GNU, version 2.1",55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blkdrop,,BlockDrop,Un jeu fondÇ sur des blocs qui tombent,Un jeu fondÇ sur des blocs qui tombent et qui ne ressemble en rien Ö Tetris. (NÇcessite une souris et un processeur 386+),"jeu, blocs",DOS,Licence BSD Ö 3 clauses,55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blocek,,Blocek,Un Çditeur de texte graphique avec support de l'Unicode et des formats d'images,Un Çditeur de texte graphique avec support de l'Unicode et des formats d'images.,"Çditeur, unicode",DOS,Licence publique gÇnÇrale GNU,bf05e6785010909e67949ea77fcebf60f5020e11a7c1500bb4faaca90785b1a8
blwcbc,,BLW-CBC,Programme DOS de chiffrement Blowfish (avec le code source),"BLOWFISH IN CBC MODE v1.5a est une implÇmentation T-Pascal 7.0 de l'algorithme de chiffrement Blowfish comme dÇcrit dans Dr Dobb's en avril 1994. Cette archive comprend les sources de l'unitÇ Blowfish, les sources de l'unitÇ BlowFish-CBC et une unitÇ BLW-CBC  de dÇmonstration de programmation. Remerciement Ö  Bruce Schneier, l'auteur de l'algorihtme.",dos chiffrement blowfish cryptage,DOS,Domaine public,f1986e7b4da1ddd41464f23b5f5163f7e7570b0e9b31bc1ea2f32a97db339567
bolitare,,Bolitaire,Un jeu de cartes Freecell,Un jeu de cartes Freecell pour DOS.,,,"Licence publique gÇnÇrale GNU, version 2",7bcbb8a91b5cb075b5d89beafe0e2b9b22e08e5bb359af8dc828fe21fc5f739f
