id,new,title,description,summary,keywords,platforms,copying-policy,sha
4dos,,4DOS,"Ersatz des Kommandointerpreters.","4DOS ersetzt den Standardkommandointerpreter. (4DOS ersetzt COMMAND.COM fÅr DOS). ","command.com, Shell, interaktiv","DOS,","Modifizierte W3C Lizenz",2a60bde53e9ea2c5b740429dc559a5258763c928e402022d30c21745334b0836
7zdec,,7zdec,"Extraktionsprogramm fÅr 7zip-Archive.","Kleines, Standalone-Extraktionsprogramm fÅr 7zip Archive.","7z, 7zdec, 7zdecode, Archivierer","DOS, Windows, *nix","Public Domain",39460f310e4d3e7e135fa29963132e1a7eaeece29fa1c3efed35494c02bc36b4
adplay,,AdPlay,"Musik-Player fÅr diverse Formate.","Musik-Player fÅr diverse Formate, nutzt OPL2/3-Audio.","adplay,adplug",DOS,"zlib/libpng Lizenz",4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366
adt2,,"Adlib Tracker 2","Tracker zum Komponieren von FM-Musik.","Tracker zum Komponieren von OPL3 FM-Musik.","tracker,adlib,opl3",DOS,"Fair Lizenz",13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,,aefdisk,Festplattenpartitionierungstool.,"Kommandozeilengesteuertes Partitionierungstool fÅr DOS. (portiert fÅr Open Watcom).","DOS, Fdisk, Partition",DOS,"GNU General Public License, Version 2",f1452c867843f7d55431aa7dbab87d25dfe4f4fd8e7aec5bf5933d9abffbda1a
ambhelp,,"FreeDOS Help (AMB)","FreeDOS Hilfedateien im AMB Format.","Die FreeDOS Hilfedateien im AMB Format. Um die Hilfedateien im AMB Dateiformat lesen zu kînnen, installieren Sie bitte auch den AMB Reader aus dem AMBREAD-Paket.","DOS, FreeDOS, help, doc, text, amb",DOS,"GNU Free Documentation License, Version 1.1",26f9d683626f5edf54dc3a530627fa7924607a7ab295c5dba839da1eb365f30a
ambpack,,"AMB Packager","Archivierungsprogramm fÅr AMB-Dateien.","Archivierungsprogramm, das AMB-Dateien (Ancient Machine Book) packt/entpackt.","text, doc, Archivierer",DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,"AMB Reader","Der Reader fÅr das AMB-Format.","AMB ist ein Reader fÅr gleichnamige AMB-Dateien (Ancient Machine Book). AMB steht fÅr 'Ancient Machine's Book'. Es ist ein extrem leichtes Dateiformat, das dazu gedacht ist, jede Art von Hypertext-Dokumentation zu speichern, die selbst auf den Ñltesten PCs bequem angezeigt werden kann: technische HandbÅcher, BÅcher usw. Betrachten Sie es als Retro-équivalent einer *.CHM-Hilfedatei.","text, doc, reader",DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,"Grafisches Anzeigetool fÅr ANSI-Dateien.","ANSiMat ist ein grafisches Anzeigetool fÅr ANSI-Dateien. Es kann auch genutzt werden, um ANSI-Dateien in regulÑre Bilddateien (BMP/PCX/PPM/TGA/TIF) umzuwandeln, ebenso in FLC (FLiC) Animationen.","ANSI, Viewer, Betrachter",DOS,"GNU General Public License, Version 3",eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0
apack,,aPACK,"AusfÅhrbarer DOS 16 Bit-Kompressor.","AusfÅhrbarer 16 Bit DOS Kompressor. aPACK komprimiert die Datei, wÑhrend sie ausfÅhrbar bleibt. aPACK verwendet fortschrittliche Komprimierungsheuristiken und -tricks, um das beste KomprimierungsverhÑltnis zu erzielen. aPACK gilt seit Jahren als einer der besten ausfÅhrbaren 16-Bit-DOS-Packer.","executable packer, ausfÅhrbar Packer, Kompressor",DOS,Freeware,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
append,,APPEND,"Zugang zu Dateien in anderen Ordnern.","APPEND erlaubt Programmen Dateien in spezifischen Ordnern so zu îffnen, als wÑren sie im selben Ordner.","FreeDOS, append, data, files, directories, Daten, Datei, Verzeichnis","DOS (NASM)","GNU General Public License, Version 2",e6d494992b1a5950db3218cafae9025f49842786af2c3c8e96a4490439ce8197
arachne,,Arachne,"DOS Web Browser (8086 & i386 Versionen).","Ein DOS Webbrowser sowohl mit 8086 als auch mit i386 Versionen.","network, www, browser, internet, Browser, Netzwerk, Internet",DOS,"GNU General Public License, Version 2",b0f1fd2efd113cf72872efeebfde7d02475488715ab870f795691dd364bdaec5
arj,,ARJ,"Der Open Source ARJ Packer.","Der Open Source ARJ Packer.","arj, archive,  Archiv, zip",DOS,"GNU General Public License",932b722d7c4e3f94704774b4ea54d53d99808e2bcfb5410346fbfe6819158709
assign,,ASSIGN,"Weist Laufwerk anderen Buchstaben zu.","Weist einen Laufwerksbuchstaben einem anderen Laufwerk zu.","FreeDOS, assign",DOS,"GNU General Public License, Version 2",be4ee0d564b2695a9595891264f6f19d56d975427df0cc91ba3da2a23e2d1f2a
atapicdd,*,ATAPICDD,"ATAPI (IDE) CD-ROM GerÑtetreiber.","Public Domain ATAPI (IDE) CD-ROM GerÑtetreiber.","DOS, CD-ROM, device driver, GerÑtetreiber","DOS (NASM/TASM)","Public Domain",500a557e1aab84fc6f609c631a251792c44408242cdda8d654dc08e88ddd0ba8
attrib,,attrib,"Anzeigen/Setzen von Dateiattributen.","Zeigt Dateiattribute an und kann sie Ñndern/setzen.","FreeDOS, attrib",DOS,"GNU General Public License, Version 2",e3bf5b785f4d41a9ebd07dc3f61fb2350a27a5ed9d420145acad6863145ba2b9
b64,,b64,"Tool zur Base64 Codierung nach RFC1113.","Dienstprogramm, das den in RFC1113 beschriebenen base64-Content-Transfer-Encoding-Standard implementiert.","b64, base64",DOS,"MIT Lizenz",a098c8132f6ca962ed7d258aa60e76201b65f38bde0ac751e713fd2903e55d24
basec,,basec,"Ein p-Code Compiler.","BASic Emulation Compiler (BASEC) ist ein p-Code Compiler.","Basic, Programmierung","DOS (djgpp), Sparc-Sun-Solaris, OpenBSD, SGI-IRIX, Linux(x86)",GPL,0000000000000000000000000000000000000000000000000000000000000000
