id,new,title,description,summary,keywords,platforms,copying-policy,sha
4dos,,4DOS,"4DOS remplace l'interprÇteur de commandes par dÇfaut qui est fourni avec votre systäme d'exploitation. (4DOS remplace COMMAND.COM pour DOS)",,"command.com, shell, interacif",DOS,"Licence W3C modifiÇe",2a60bde53e9ea2c5b740429dc559a5258763c928e402022d30c21745334b0836
7zdec,,7zdec,"extracteur d'archives pour les fichiers .7z","petit dÇcompresseur autonome pour archives 7-Zip (avec sources ANSI C)","7z, 7zdec, 7zdecode, gestionnaires d'archives","DOS, Windows, *nix","Domaine public",39460f310e4d3e7e135fa29963132e1a7eaeece29fa1c3efed35494c02bc36b4
adplay,,AdPlay,"Lecteur de musique multi-formats qui utilise l'audio OPL2/3","Un lecteur de musique multi-formats qui utilise l'audio OPL2/3","adplay,adplug",DOS,"Licence zlib/libpng",4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366
adt2,,"Adlib Tracker 2","Traqueur pour composer de la musique OPL3 FM",,"traqueur,adlib,opl3",DOS,"Fair License (Æ Licence Çquitable Ø)",13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,,aefdisk,"Utilitaire de partitionnement de disque pour DOS pilotÇ par la ligne de commande (portÇ pour Open Watcom)",,"dos fdisk partition",DOS,"Licence publique gÇnÇrale GNU, version 2",2ba7c24edb8b4f1fd4513b671cd919f2b9a0666784c46836a946ba3ab64d0c51
ambhelp,,"FreeDOS Help","Les fichiers d'aide de FreeDOS au format AMB","Les fichiers d'aide de FreeDOS au format AMB. Afin de lire les fichiers au format AMB, installez Çgalement le lecteur AMB depuis le paquet AMBREAD.","freedos, aide, doc, texte, amb",DOS,"Licence de documentation libre GNU, version 1.1",f5bf51c293c9906b37c6c5b63860571f1f54c54a3c1455d1708df192fd66acfe
ambpack,,"AMB Packager","Gestionnaire d'archives qui empaquette et ouvre les fichiers AMB (Ancient Machine Book)",,"texte, doc, gestionnaire d'archives",DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,"AMB Reader","Le lecteur du format Ancient Machine Book","AMB est un lecteur de fichiers AMB (Livres Anciens pour Machines). AMB signifie Livres Anciens pour Machines. C'est un format de fichier extràmement lÇger destinÇ Ö stocker n'importe quel type de documentation hypertexte pouvant àtre visionnÇe confortablement, màme sur les ordinateurs les plus anciens: manuels techniques, livres, etc.","texte, doc, lecteur",DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,"Visionneur graphique pour les fichiers ANSI","ANSiMat est un visionneur graphique pour les fichiers ANSI. Il peut aussi àtre utilisÇ pour convertir les fichiers ANSI en fichiers graphiques habituels (BMP/PCX/PPM/TGA/TIF) ou en animations FLC (FliC).","ansi, visionneur",DOS,"Licence publique gÇnÇrale GNU, version 3",eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0
apack,,aPACK,"Compresseur DOS 16-bits exÇcutable","Compresseur exÇcutable DOS 16 bits. apack comprime le fichier tout en le gardant exÇcutable. apack utilise des heuristiques et des astuces de compression avancÇes pour obtenir le meilleur rapport de compression. apack s'est classÇ comme l'un des meilleurs empaqueteurs exÇcutables de DOS 16 bits pendant des annÇes.","Empaqueteur exÇcutable",DOS,Freeware,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
