id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
4dos,,4DOS,4DOS remplace l'interpréteur de commandes par défaut qui est fourni avec votre système d'exploitation. (4DOS remplace COMMAND.COM pour DOS),,"command.com, shell, interacif",,DOS,Modified W3C License,2a60bde53e9ea2c5b740429dc559a5258763c928e402022d30c21745334b0836
7zdec,,7zdec,extracteur d'archives pour les fichiers .7z,petit décompresseur autonome pour archives 7-Zip (avec sources ANSI C),"7z, 7zdec, 7zdecode, gestionnaires d'archives",,"DOS, Windows, *nix",public domain,39460f310e4d3e7e135fa29963132e1a7eaeece29fa1c3efed35494c02bc36b4
adplay,,AdPlay,Lecteur de musique multi-formats qui utilise l'audio OPL2/3,,"adplay,adplug",,DOS,zlib/libpng License,4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366
adt2,,Adlib Tracker 2,Traqueur pour composer de la musique OPL3 FM,,"tracker,adlib,opl3",,DOS,Fair License,13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,,aefdisk,Utilitaire de partitionnement de disque pour DOS piloté par la ligne de commande (porté pour Open Watcom),,dos fdisk partition,,DOS,"GNU General Public License, Version 2",2ba7c24edb8b4f1fd4513b671cd919f2b9a0666784c46836a946ba3ab64d0c51
ambhelp,,FreeDOS Help,Les fichiers d'aide de FreeDOS au format AMB,,"freedos, aide, doc, texte, amb",,DOS,"GNU Free Documentation License, Version 1.1",f5bf51c293c9906b37c6c5b63860571f1f54c54a3c1455d1708df192fd66acfe
ambpack,,AMB Packager,Gestionnaire d'archives qui empaquette et ouvre les fichiers AMB (Ancient Machine Book),,"texte, doc, gestionnaire d'archives",,DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,AMB Reader,Le lecteur du format Ancient Machine Book,"AMB est un lecteur de fichiers AMB (Livres Anciens pour Machines). AMB signifie Livres Anciens pour Machines. C'est un format de fichier extrêmement léger destiné à stocker n'importe quel type de documentation hypertexte pouvant être visionnée confortablement, même sur les ordinateurs les plus anciens: manuels techniques, livres, etc. Pensez-y comme un équivalent rétro du fichier d'aide * .chm.","texte, doc, lecteur",,DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,ANSiMat est un visionneur graphique pour les fichiers ANSI. Il peut aussi être utilisé pour convertir les fichiers ANSI en fichiers graphiques habituels (BMP/PCX/PPM/TGA/TIF) ou en animations FLC (FliC).,,"ansi, visionneur",,DOS,"GNU General Public License, Version 3",eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0
apack,,aPACK,Compresseur DOS 16-bits exécutable,Compresseur exécutable DOS 16 bits. apack comprime le fichier tout en le gardant exécutable. apack utilise des heuristiques et des astuces de compression avancées pour obtenir le meilleur rapport de compression. apack s'est classé comme l'un des meilleurs empaqueteurs exécutables de DOS 16 bits pendant des années.,Empaqueteur exécutable,,DOS,Freeware,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
append,,APPEND,APPEND permet aux programmes d'ouvrir les fichiers de données dans les répertoires spécifiés comme si les fichiers se trouvaient dans le répertoire courant.,,"freedos, joindre, données, fichiers, répertoires",,DOS (nasm),"GNU General Public License, Version 2",e6d494992b1a5950db3218cafae9025f49842786af2c3c8e96a4490439ce8197
arachne,,Arachne,Un navigateur web pour DOS (versions 8086 & i386),,"réseau, www, navigateur",,DOS,"GNU General Public License, Version 2",b0f1fd2efd113cf72872efeebfde7d02475488715ab870f795691dd364bdaec5
arj,,ARJ,Le gestionnaire d'archives ARJ libre.,,,,DOS,GNU General Public License,932b722d7c4e3f94704774b4ea54d53d99808e2bcfb5410346fbfe6819158709
assign,,assign,Attribuer une lettre de lecteur à un autre lecteur,,"freedos, attribuer",,dos,"GNU General Public License, Version 2",be4ee0d564b2695a9595891264f6f19d56d975427df0cc91ba3da2a23e2d1f2a
attrib,,attrib,Afficher et définir les attributs de fichiers,,"freedos, attrib",,dos,"GNU General Public License, Version 2",e3bf5b785f4d41a9ebd07dc3f61fb2350a27a5ed9d420145acad6863145ba2b9
b64,,b64,Utilitaire qui implémente le standard d'encodage de transfert de contenu Base64 décrit dans la RFC1113.,,"b64,base64",,DOS,MIT license,a098c8132f6ca962ed7d258aa60e76201b65f38bde0ac751e713fd2903e55d24
batt,,batt,Petit programme destiné à afficher des informations sur l'état de la batterie et de l'alimentation,"BATT est un petit programme destiné à afficher des informations sur l'état actuel de la puissance et de la batterie (charge restante et durée de fonctionnement), ce qui peut être critique dans des environnements mobiles, mais pas facilement disponible lors de l'utilisation de DOS, même si cela est facilement disponible via l'interface BIOS de gestion de l'alimentation avancée. Il est conçu pour fonctionner sous DOS pur et peut ne pas fonctionner sous MS Windows.","dos, apm, batterie, alimentation",,DOS,'Modified' BSD License,0170830ccde1a585897d4ed5904c5c17c00cb80bf590a892d1503c0b67bac374
bcc,,bcc - Bruce's C compiler,Bruce's C compiler est un compilateur qui produit de l'assembleur 8086 pour les petits modèles.,,"K&R,C89,C,compilateur",,DOS,"GNU General Public License, Version 2",d0fb57da0ed806888270c3b46ae7d0d8d54da2bb0896b6d68dc0a66752243bf0
biew,,Biew,Biew est un visionneur/éditeur binaire/hexadécimal. (nécessite i686+),,"Biew, binaire, hexadécimal, visionneur, éditeur",,DOS,GNU General Public License,37c9334ac4bfbb6d484a432538bd0abd33dacdc2cb36d3b49035e13cce428b86
bladeenc,,BladeEnc,Blade's MP3 Encoder génère des fichiers MP3 depuis des données WAV/AIFF/RAW,,"mp3, encodeur",,DOS,"GNU Lesser General Public License, Version 2.1",55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blocek,,Blocek,Un éditeur de texte graphique avec support de l'Unicode et des formats d'images,,"éditeur, unicode",,DOS,GNU General Public License,bf05e6785010909e67949ea77fcebf60f5020e11a7c1500bb4faaca90785b1a8
blwcbc,,BLW-CBC,Programme DOS de chiffrement Blowfish (avec le code source),"BLOWFISH IN CBC MODE v1.5a est une implémentation T-Pascal 7.0 de l'algorithme de chiffrement Blowfish comme décrit dans Dr Dobb's en avril 1994. Cette archive comprend les sources de l'unité Blowfish, les sources de l'unité BlowFish-CBC et une unité BLW-CBC  de démonstration de programmation. Remerciement à  Bruce Schneier, l'auteur de l'algorihtme.",dos chiffrement blowfish cryptage,,DOS,Public Domain,f1986e7b4da1ddd41464f23b5f5163f7e7570b0e9b31bc1ea2f32a97db339567
bmp2png,,bmp2png,Outil en ligne de commande qui convertit les images BMP en images PNG (et vice versa),,"bmp,png",,DOS,Freeware (with sources),e6d7a9c33da6be71042987c6426319e254cc585a9183e593a9bef5c7ff0d31f5
bolitare,,Bolitaire,Un clone de  Freecell pour DOS,,,,,"GNU General Public License, Version 2",7bcbb8a91b5cb075b5d89beafe0e2b9b22e08e5bb359af8dc828fe21fc5f739f
boom,,Boom,Un portage GPL du code source de Doom. Empaqueté avec FreeDoom pour une expérience de jeu complète.,,"doom,boom,freedoom",,DOS,"GNU General Public License, Version 2",2535cd8878ee776c4055e0b361f16a0447b69612596942b2b26ecb5b98cde827
bootfix,,Bootfix,Bootfix est un outil pour tester et réparer le secteur d'amorçage.,,"Bootfix, amorçage, secteur, mbr, disque",,DOS,"GNU General Public License, Version 2",63139a5ac66c8ad9603643062e62e398a5f7561bb794db8c80854fb6bb2627a7
bootmgr,,multi-BOOT ManaGeR,"Amorcer depuis des disques durs multiples, des partitions ou des disquettes",,"dos, boot",,DOS,'Modified' BSD License,d3f414ca45f74da7a360e6bd3c5753b0cf681096a58c63d92b1cdcc7cf3f3700
bsdtail,,BSD tail,Visionner la dernière partie d'un fichier,Portage direct de 'TAIL' version 5.2 depuis BSD 4.3.,"tail, unix, bsd, file",,"DOS, FreeDOS",BSD License,c3d34e507b4220a80cd3fb72dd1f0fcebb14e373f1bc160f7426a48abe399096
bsum,,BSUM,Calcule les sommes de contrôles BSD des fichiers,bsum est un petit outil (256 octets !) qui calcule les sommes de contrôle  BSD,dos,,DOS,MIT License,ea4e3048965b03be175eaf737323cf308c37ea44ecbe41f1e79f0940bf9d684e
btitanic,,Beyond the Titanic,Un jeu d'aventure basé sur le texte dans le style d'Infocom.,,,,DOS,"GNU General Public License, Version 2",8d0098a28b8ddf2d7c9e44ea364ba774ac653414d4e133490fd66f9816cfb1ed
bwbasic,,Bywater BASIC,L'interpréteur BASIC Bywater,"L'interpréteur BASIC de Bywater (bwBASIC) implémente un grand ensemble de la norme ANSI pour le BASIC minimal (X3.60-1978) et un sous-ensemble significatif de la norme ANSI pour le BASIC complet (X3.113-1987), ainsi que de nombreux dialectes BASIC classique en C. (Utilise l'extension DOS CauseWay du domaine public)","basic, quickbasic, qbasic",,DOS,"GNU General Public License, Version 2",07a8bcd91f570c6d73fd35604fb1d7797eb945fbd4e416067bad60a04011cccf
bz2,,BZIP2,Programme de compression BZIP2,,"bzip, bunzip, zip, unzip, compresseur",,"DOS, FreeDOS, Linux, Windows","Open Source, see license.txt",298ede87baddf4e6a2261f69f4931167bcc02d5f7b68f7258d500149f2b22554
cabext,,CABExtract,CABExtract peut extraire des fichiers de divers formats Microsoft CAB.,,"cab, compressé, archive",,DOS,"GNU General Public License, Version 3",92a3f403c45e38ec650947458aae032e0083c8de3754d059f04509ee1fcf3dd2
cal,,cal,"Programme de calendrier, similaire au 'cal' sur UNIX",,freedos,,dos,Freeware with source,25b5c67f87aa5b5ffbc2b4a426cae9e87b192ac1db4b22d618f345d0dcbd65d4
calc387,,CALC387,"Petite (1Ko) calculatrice en ligne de commande, nécessite un FPU 387+",,calc,,dos,Freeware w/sources,9215ab8108387d05704cb4f542a17ff246c73b206d496cedfcaff02318f5c0ef
callver,,Callver,Définir la version de DOS pour l'exécution d'un programme.,,Dos FreeDOS setver dosver callver version,,DOS (nasm),Public Domain,079d06c6ffb40b4618cbe878b5e2d0e20887a4330fd83b3ff7d65c2bfbeff509
causeway,,CauseWay,Extenseur DOS CauseWay,L'extenseur DOS CauseWay. Fournit la prise en charge du mode protégé pour une application. (Similaire à DOS4GW.),"dos, dos4gw, asm, watcom, extenseur",,DOS,Public Domain,2e140a4a956231e14b5f3c196ac9c28f04c931e6968499372e5b3c3e679f152a
cdogs,,C-DOGS,C-DOGS est une suite de Cyberdogs (promenez-vous en explosant les méchants),,,,dos,Free w/Sources,0df0adc807e652aefbfae9e6af6ce603dee4908c2decf01e724b0efe5cf2449c
cdp,,CDP,Lecteur de CD audio  pour DOS piloté par la ligne de commande,,"cdp, audio, cd-rom",,"DOS, FreeDOS",Freeware,7ee2e0af1c607ce4266ce0ae54b548e2d7c07428690cd740a4cd0a2e40b71d4a
cdrcache,,cdrcache,"Tampon CD-ROM, met en mémoire tampon la lecture pour un lecteur, XMS, 386 ou supérieur",,"cache, freedos, smartdrv, cd-rom",,,"GNU General Public License, Version 2",2ddc611635e05f254fae9ba59edbcbdaf9a003724cb89a2886fe5306fa3214da
cdrom2ui,,cdrom2ui,"Petit outil pour éjecter, fermer un morceau, verrouiller, enlever le verrou ou remettre à zéro tout CD-ROM, sélectionné par la lettre du lecteur.",,"freedos, cd-rom",,,"GNU General Public License, Version 2",07fef5b368213e066d25e1b758a03e09b7b83efb00f7ec4260b206d69d8e00e8
chicken2,,Chicken 2,Jeu de tir impliquant des poules,,,,DOS,Emailware,eb8d733eb194e7b0e124726e251adb445be4b9548e7f48dfc569142407e351d2
chkdsk,,CHKDSK,Vérifier le disque pour des erreurs.,,Vérifier les disques pour des erreurs,,"DOS, FreeDOS","GNU General Public License, Version 2",d565f42cb47ff84b5ab4ed5974412333e825adfa984d2d9b05b86b4cc6dca8c8
choice,,choice,Présenter un choix à l'utilisateur et attendre l'appui d'une touche (utilise kitten au lieu de cats),,freedos,,DOS **requires KITTEN,"GNU General Public License, Version 2",8e42bf05e8b5b63475671633739cf44a0bb5ea6de4dc64bdc0c5df52287d42e1
clamav,,Clam Anti-Virus (ClamAV),ClamAV analyse les fichiers et répertoires à la recherche de virus,,"clamav, av, anti-virus, virus",,"Unix, Windows, BeOS, DOS","GNU General Public License, Version 2",6584cabb8c9a02a21fe79a86d93a2dc08d8a9b2d2560301bc18266e55156a9c6
clamdb,,Clam Anti-Virus Database,La base de données virale pour ClamAV,,"clamav, av, anti-virus, virus, db, base de données",,Platform-independent,"GNU General Public License, Version 2",36ef506a2418bd4199abf2e8360bc6804f532f088d9fd6264181b3d0777bf81d
command,,FreeCom,Le shell de commande FreeDOS,,freecom freedos shell de commande,,dos dosemu,"GNU General Public License, Version 2",a3bbb02facd48ea2b3e5f927420d9d8865d89cf575e6b5720277cf5835f84a4e
comp,,COMP,Comparer des fichiers  et afficher leurs différences,,"comparer, comp, comparaison de fichiers",,"DOS, FreeDOS","Free, see COMP.ASM",f70c6cc080860ac5dff2851ceb9bcf2219f6625ae2339993ad00e361eb98d25b
cpidos,,CPI (Code Page Information) Package,"Paquet du type DISPLAY, fichiers CPI compressés avec UPX avec diverses pages de codes DOS.",,"display, codepage, page de code, cp, page de code dos, dos cp, jeu de caractères",,FreeDOS,"GNU General Public License, Version 2",e1404044d85fa1e9c30dfd1853909ac84b6a87e6c89f788413cd13b2bb1d133d
cpied,,cpied,un éditeur de polices CPI piloté par interface graphique,,"cpi,cpx,police,éditeur",,DOS,"GNU General Public License, Version 3",b76413376ff5f52754a856e073a3d86fec002c0cd506eeffa26c63e4c9f39eba
cpp2ccmt,,cpp2ccmt,Un convertisseur de commentaires du C++ vers C.,,commentaires,,DOS,"GNU Lesser General Public License, Version 2.1",89225d319353e73b986f6400a58bbe82bf51a66a279d190ac25e75f631dfe5e0
crc32,,CRC32,Calcule la somme de contrôle standard 32 bits des fichiers,,crc32,,dos,Public Domain,573188666dd4f5d7a686ba8f964993f7f81c80ed2a70792815d5960c4fb803d7
crynwr,,Crynwr,Une collection de pilotes de paquets libres de l'entreprise Crynwr,,paquet,,DOS,Open source,60a1fdde3aa6b7980f2afb3555931567fcd4234e24607e91a3f04d3b05fea386
csphinx,,Sphinx C--,Sphinx C-- est un compilateur à mi-chemin entre C et ASM,,,,DOS,Greenware,8fba74099d6150a36451883c7f5fc79f43a34d1836a58d3275d74e627840125d
ctmouse,,CTMouse,Le pilote de souris pour FreeDOS,,"Souris, roulette",,FreeDOS,"GNU General Public License, Version 2",d6b7db9a8ea5ed62ab3dc7ece379f13984f7d8d122bb28c2afe0d5fedc34203e
curl,,cURL,Curl est un outil en ligne de commande pour transférer des données spécifiées avec la syntaxe de l'URL.,,"freedos, curl",,FreeDOS,Open source,0b6a186b67c256ff378ed39aff811d970df58e3947cdc91f776b94ad11936d81
curltiny,,cURL (Tiny),Curl est un outil en ligne de commande pour transférer des données spécifiées avec la syntaxe de l'URL.,,"freedos, curl",,FreeDOS,Open source,cc6f1394b8fa7a092eafc6c38558703160d04d99eb23792e47b408fc5a851163
cwsdpmi,,CWSDPMI,Extension DOS DPMI 32 bits conçue pour DJGPP.,,"extenseur, DPMI, DJGPP",,"DOS, FreeDOS","GNU General Public License, Version 2",fdf2ffd9372401482a514d033690cb1585105710d23be35c6769e3dffdf0534f
cyberdog,,Cyberdogs,Promenez-vous en explosant les méchants,,,,dos,Public Domain,b82faf4be86ea46beebe9c32f85d64eef1ad181ac6609cc080b59ebc585eac1f
daa2iso,,DAA2ISO,Outil pour convertir les images DAA et GBI simples et en plusieurs parties au format ISO d'origine.,,"daa2iso,poweriso",,DOS,"GNU General Public License, Version 2",c75c77cd36d13d5dd784c559599c9afa79e8026a791e4eef7fde424ba91b3309
debug,,DEBUG,Outil pour tester et éditer les programmes,,"debug, débogueur, débogueur DPMI,  débogueur 32bits,  débogueur noyau",,"DOS (assemble with NASM), FreeDOS",MIT License,b680d86cb6cd92e051c42ef942bff0818c1058d8825e9d27731f0386b72d646e
defrag,,Defrag,Utilitaire de défragmentation.,,défragmenteur,,FreeDOS,"GNU General Public License, version 2",6e1d46eaed56012a97e9f6f07fad4aab9edf2e95d7bbf15f23d5b7c045d6cecf
deltree,,DELTREE,Supprimer des fichiers et des répertoires avec tous les fichiers et sous-répertoires inclus !,,"freedos, effacer,arborescence",,"DOS, FreeDOS","GNU General Public License, Version 2",4328bdb74bc0c2048076deb500055b2965c852125b1dac04a6903fc5cf0b0165
demosapa,,Assistance Demo,Un paquet simple pour démontrer l'utilisation d'un programme d'assistance personnalisé.,Un paquet simple pour démontrer l'utilisation d'un programme d'assistance personnalisé qui peut être incorporé automatiquement par l'environnement de compilation de FreeDOS lors de la création d'un support d'installation personnalisé. Le paquet démarrera automatiquement sur USB et  CD-ROM. Il sera également installé et utilisé à la fois dans les types d'installation basique et complet.,freedos,,DOS,Public Domain,3fed2d43061859369924cf347f43e265f6dbb1c4fadb3a5f4d7f8abe2fc266d7
devload,,devload,"Programme en ligne de commande de chargement de pilote de lecteurs, supporte les UMB",,"Ligne de commande, lecteur, pilote, charger, ctload, devload",,"DOS, NASM, FreeDOS","GNU General Public License, Version 2",356cc7e0701294d41906b34bd24fdee8908b19c0053943938ef28830cdae281b
dialog,,Dialog,Afficher les boîtes de dialogue dans les scripts shell,,"dialogue, curses",,"DOS, Unix, Windows, Curses, GTK","GNU Lesser General Pubic License, Version 2.1",960daaa1520f74dc26f56251b7360118063361dcde049d7d6bbc1b214ad3f46b
dillo,,Dillo,Navigateur Web graphique connu pour sa rapidité et son faible encombrement.,,"dillo, web, www, navigateur",,DOS,"GNU General Public License, Version 3",f174f9e06f872f8d6ed2e381c605b333ed344a415dd875a779aabdcc29e639dd
diskcomp,,DISKCOMP,Utilitaire de comparaison de disques,,"diskcomp, comparer, disques",,"DOS, FreeDOS","GNU General Public License, Version 2",e1c032e84f8f5437533b7d61d966eded91f4e269f6c8209d093d5975710acfc5
diskcopy,,DiskCopy,Copier un disque ou un fichier d'image sur un autre disque,,"Freedos, disque, diskcopy, copier",,"DOS, FreeDOS","GNU General Public License, Version 2",b6c5163c1fbc2438060b2a31f7e71dcb0060663befa627ed02f7de5260807dd4
display,,DISPLAY,Pilote FreeDOS pour la gestion des pages de codes (écran ou imprimante),,"affichage, ega, vga, nls, cpi, cpx",,"DOS, FreeDOS","GNU General Public License, Version 2",0343e67efe35a954af07132ffe83429d4cb67ed5be12916d459650b7e9d01bf8
djgpp,,DJGPP,Environnement DJGPP,,"gcc, compilateur, c, djgpp",,DOS,"GNU General Public License, Version 2",bd3920d89c9a8a5bb57bc86a87c979e41fe5586cc1546b55eb6c4deec5aa1c04
djgpp_bn,,DJGPP binutils,"DJGPP binutils: linker, assembleur, etc.",,"gcc, make, compilateur, c, djgpp",,DOS,GNU General Public License,dbf398dd0a57c0aedbd77941a6a6415c3eaa0c5d2e3d212df710323ef46288bc
djgpp_bs,,DJGPP Bison,DJGPP Bison (un générateur d'analyseur compatible avec YACC),,"bison, djgpp",,DOS,GNU General Public License,0c408c8f27010b768c8ea894b757e40c767d0721725bf71476d8e09ba19f7b24
djgpp_db,,DJGPP GDB,Débogueur DJGPP (GDB),,"gcc, gdb, djgpp",,DOS,GNU General Public License,08b215eda5121233c7c298314bef08b63731482ede30679f04b1d2429efbefce
djgpp_fq,,DJGPP FAQ,Documentation FAQ de DJGPP,,"gcc, faq, make, compilateur, c, djgpp",,DOS,GNU General Public License,3f43f327a84b5433948c153b362dcde37df603454b4d8848c6ca716ff6983aaa
djgpp_fx,,DJGPP Flex,DJGPP Flex (générateur d'analyseur lexical rapide),,"flex, djgpp",,DOS,GNU General Public License,7a6d429e8535e08a05867d87b06d813b2b57d4da80b53ecb8ac180959c410f47
djgpp_gc,,DJGPP GCC,DJGPP GCC (compilateur C),,"gcc, compilateur, c, djgpp",,DOS,GNU General Public License,96c2a95a059335e7f06389d103e9aec73e347dd95353adad6767842f6b0c7fad
djgpp_gp,,DJGPP GPP,DJGPP GPP (compilateur C++),,"compilateur, cpp, gpp, djgpp",,DOS,GNU General Public License,ee82745dbec83d20023ffe224b95bf1791fadb00eb59473fae98b5ee5e8fb753
djgpp_mk,,DJGPP make,DJGPP make,,"gcc, make, compilateur, c, djgpp",,DOS,GNU General Public License,1bc93519783f66628fc45a3e7fc8845ef8a942322b61a6ccc83d3196e79c778a
djgpp_ob,,DJGPP Objective-C compiler,Compilateur Objective-C DJGPP,,"gcc, objective-c, compilateur, djgpp",,DOS,GNU General Public License,8ba63cdf58ab572c682f8551f71ec12c18be775f1fd2312c92bd83709180eff0
djgpp_rh,,DJGPP RHIDE,Éditeur DJGPP RHIDE,,"rhide, djgpp",,DOS,GNU General Public License,a8597f7099b24398dce94eae37ce7bb19bfaa4d02aa30289fec60401b8e1d083
djgpp_tx,,DJGPP Texinfo,DJGPP Texinfo (visionneur de fichiers info),,"texinfo, djgpp",,DOS,GNU General Public License,2a59d8925f005d482e2b37ecfae0104c218ada82bf5b2d84591902e2ddf5a8ed
dn2,,DOS Navigator 2,DOS Navigator 2 OpenSource est un gestionnaire de fichiers basé sur DOS Navigator (c) 1991-99 par RIT Research Labs.,,"navigateur dos, norton commander",,DOS,"OpenSource, similar to BSD License",65318053f04044538dc6332c31e0372fbbbba938c45a3aa5d4040cb6a6153cb5
dog,,DOG,"Un shell command.com alternatif, similaire à FreeCOM mais différent.",,"commande, shell",,"DOS (Turbo C++ 1.01, ASM), FreeDOS","GNU General Public License, Version 2",ba35e4c136c8e084ff800d57579ab39f9c260cc1c246058e58065d44b4acf5d7
dojs,,DOjS,Une toile JavaScript pour DOS avec du son,"DOjS est une toile compatible JavaScript avec prise en charge du son WAV et MIDI. DOjS s'exécute dans Dosbox et sur du matériel réel ou une machine virtuelle avec MS-DOS, FreeDOS ou tout Windows basé sur DOS comme Windows 95/98/ME. Si vous l'exécutez sur du vrai matériel, vous aurez besoin d'au moins un 80386 avec 4 Mo. Je recommande une machine de classe Pentium (> = 100 MHz) avec au moins 32 Mo de RAM.","java, JavaScript",,DOS,"Various Licenses, See LICENSE file",8d1ee9ee7e223a5f85efd64b49787d443c50f15d1561ea4fdb1e6f80b0e99280
dos32a,,DOS/32A,DOS/32A est une extension DOS.,,"7-zip, 7z, 7za, gestionnaire d'archives",,DOS,"Open source, similar to BSD License",dbd2dc7e0a1f21cda807b4326090cde43d20bdc90431cc298071d78a267e65a1
dosdef,,DOS Defender,"DOS Defender est un jeu DOS en mode réel x86 pour Ludum Dare # 31 (décembre 2014). Comme peu de machines DOS existent encore, la plate-forme cible est en fait DOSBox, mais le jeu devrait fonctionner dans une certaine mesure sur n'importe quel système DOS. Il peut être joué avec une souris mais il est destiné à être joué avec un manette",,games,,DOS,Public Domain,860f938ca38a5eb03fec1a5c2b570cf8b96b0f489ba7c5f9fdf9700d86abd308
