id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
4dos,4DOS,4DOS replaces the default command interpreter that are supplied with your operating system. (4DOS replaces COMMAND.COM for DOS),,"command.com, shell, interactive",,DOS,Modified W3C License,f2676caee23487b56c2b1f52c40a2916aadad52686fa93555fff476e214c0cd0
7zdec,7zdec,unarchiver for .7z files,"small, standalone decompressor for 7-Zip archives (with ANSI C sources)","7z, 7zdec, 7zdecode, archivers",,"DOS, Windows, *nix",public domain,49ff5e664771b446081dec82c7c7f970a45bea50fb0a04c00b212e293351f609
adplay,AdPlay,multiple formats music player using OPL2/3 audio,,"adplay,adplug",,DOS,zlib/libpng License,1bb5d7deedb974792c25ddcac27bd665c600480a7d4fdece0bcc6a17edfae72f
adt2,Adlib Tracker 2,tracker for composing OPL3 FM music,,"tracker,adlib,opl3",,DOS,Fair License,13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,aefdisk,Command line driven disk partitioning utility for DOS (ported for Open Watcom),,dos fdisk partition,,DOS,"GNU General Public License, Version 2",f1452c867843f7d55431aa7dbab87d25dfe4f4fd8e7aec5bf5933d9abffbda1a
ambhelp,FreeDOS Help (AMB),FreeDOS help files in AMB format,,"freedos, help, doc, text, amb",,DOS,"GNU Free Documentation License, Version 1.1",26f9d683626f5edf54dc3a530627fa7924607a7ab295c5dba839da1eb365f30a
ambpack,AMB Packager,archiver that packs/unpacks AMB (Ancient Machine Book) files,,"text, doc, archiver",,DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,AMB Reader,the Ancient Machine Book format reader,"AMB is a reader of eponymous AMB (Ancient Machine Book) files. AMB stands for 'Ancient Machine's Book'. It is an extremely lightweight file format meant to store any kind of hypertext documentation that may be comfortably viewed even on the most ancient PCs: technical manuals, books, etc. Think of it as a retro equivalent of a *.CHM help file.","text, doc, reader",,DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,ANSiMat,ANSiMat is a graphical viewer of ANSI files. It can also be used to convert ANSI files into regular (BMP/PCX/PPM/TGA/TIF) graphic files or FLC (FLiC) animations.,,"ansi, viewer",,DOS,"GNU General Public License, Version 3",c4921f96c48b6de44c4ed57d578747d88a7c6d188dd2bf7e153811d132daa03c
apack,aPACK,DOS 16-bit executable compressor,16-bit DOS executable compressor. aPACK compresses the file while keeping it executable. aPACK uses advanced compression heuristics and tricks to achieve the best compression ratio. aPACK has ranked as one of the best 16-bit DOS executable packers for years.,executable packer,,DOS,Freeware,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
append,APPEND,APPEND enables programs to open data files in specified directories as if the files were in the current directory.,,"freedos, append, data, files, directories",http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/append/,DOS (nasm),"GNU General Public License, Version 2",be4867b641c79edfb5154c6b51983f8d04a2ee91b0cc8d976305f6f90ffc464a
arachne,Arachne,a DOS web browser (8086 & i386 versions),,"network, www, browser",,DOS,"GNU General Public License, Version 2",e87fdf644a70500bfd514ab1132f59925805bf568c3b8f64be58128fcb852303
arj,ARJ,The open-source ARJ archiver.,,,,DOS,GNU General Public License,6583c675bb9460b10d6926f79f097591a5ec3cd7b19ee210b51216561d2d9509
assign,assign,Assign a drive letter to a different drive,,"freedos, assign",,dos,"GNU General Public License, Version 2",c9d67e6ac05a4de12faa7da308107b0740541646ebe167894d223fe22bad3a78
attrib,attrib,Display and set file attributes,,"freedos, attrib",,dos,"GNU General Public License, Version 2",ea157f5533d1a44a7bc686cb2e611ee249e7d74c92937786084a97cdbaa84e9c
b64,b64,Utility that implements the Base64 Content-Transfer-Encoding standard described in RFC1113.,,"b64,base64",,DOS,MIT license,ea933c997a1c943f766165205ffef8054a6c696eedeeeae89cc0fbe4aca083e8
batt,batt,tiny program to display information about current power and battery status,"BATT is a tiny program to display information about current power and battery status (remaining charge and operational time), which may be critical in mobile environments but not easily available when working under DOS, even that easily available through the Advanced Power Management BIOS interface. It is designed to run under plain DOS and may not work under MS Windows.","dos, apm, battery, power",,DOS,'Modified' BSD License,0170830ccde1a585897d4ed5904c5c17c00cb80bf590a892d1503c0b67bac374
bcc,bcc - Bruce's C compiler,Bruce's C compiler is a simple C compiler that produces 8086 assembler for tiny/small models.,,"K&R,C89,C,compiler",,DOS,"GNU General Public License, Version 2",1fd48686ae5cb8672f64c13f89eea90b7df1882d279fb33ba0a1410a6284ad27
biew,Biew,Biew is a binary/hexadecimal viewer/editor. (requires i686+),,"Biew, binary, hexadecimal, viewer, editor",,DOS,GNU General Public License,0af2c2a565f27276d76bea6bda530cdaeec915d9b6716a0118f3b696934a6b9c
bladeenc,BladeEnc,Blade's MP3 Encoder generates MP3 files from WAV/AIFF/RAW data,,"mp3, encoder",,DOS,"GNU Lesser General Public License, Version 2.1",efb25a163ed0d864e2232ca180771ced27698ea1201a539dcdaa9b1049e792a4
blocek,Blocek,A graphical text editor with unicode and pictures formats support,,"editor, unicode",,DOS,GNU General Public License,1d604a303d543cc968de77ed07630deead200f1457ae3c127b411fc80d65ea75
blwcbc,BLW-CBC,DOS Blowfish Cipher Program (with sources),"BLOWFISH IN CBC MODE v1.5a is a T-Pascal 7.0 implementation of the Blowfish cipher algorithm as described in Dr Dobb's, April 1994. This Archive includes sources of the Blowfish Unit, BlowFish-CBC Unit sources, and an BLW-CBC Unit usage programing demo. Thanks go to Bruce Schneier, author of the algorithm.",dos blowfish cipher encryption,,DOS,Public Domain,3c4e0eecd9d351b17b9c463c26faf9f8b5ff1292d2863bed5bdd97fe7383af2f
bmp2png,bmp2png,command-line tool that converts BMP images to PNG (and vice versa),,"bmp,png",,DOS,Freeware (with sources),f89b701d8e8d154e224ec2b8f737e22e38da626a69b970f1baf22380e3fb60f9
bolitare,Bolitaire,A Freecell clone for DOS,,,,,"GNU General Public License, Version 2",d6b7ff56e342d194e8e5b5f32a2525e5e77c772065ace7fea91ed8ee6e2464ee
boom,Boom,A GPL port of the Doom source code. Packaged with FreeDoom for a complete gameplaying experience.,,"doom,boom,freedoom",,DOS,"GNU General Public License, Version 2",73e25608b7963f0b973f59d591f02980c3ced7d1b661292c8b5cfd6c10fe0c9c
bootfix,Bootfix,Bootfix is a boot sector testing and fixing tool.,,"Bootfix, boot, sector, mbr, disk",,DOS,"GNU General Public License, Version 2",b567aa129ba466769e9e6301432fa1af602a73db4cb95823c33f602211542aa4
bootmgr,multi-BOOT ManaGeR,"boot from multiple hard drives, partitions or floppy",,"dos, boot",,DOS,'Modified' BSD License,d3f414ca45f74da7a360e6bd3c5753b0cf681096a58c63d92b1cdcc7cf3f3700
bsdtail,BSD tail,View the last part of a file.,Direct port of 'TAIL' version 5.2 from BSD 4.3.,"tail, unix, bsd, file",,"DOS, FreeDOS",BSD License,c3d34e507b4220a80cd3fb72dd1f0fcebb14e373f1bc160f7426a48abe399096
bsum,BSUM,computes BSD checksums of files,bsum is a tiny tool (256 bytes!) that computes BSD checksum,dos,,DOS,MIT License,8ef23e5a3d3de87f0943a9540313543001643b6c314aac7e2675b74afc124580
btitanic,Beyond the Titanic,Text based Infocom style adventure game.,,,,DOS,"GNU General Public License, Version 2",f3a9238dec239468af162003c816dc356d45ca49c7a19ee235f7d7864548d365
bwbasic,Bywater BASIC,The Bywater BASIC interpreter,"The Bywater BASIC Interpreter (bwBASIC) implements a large superset of the ANSI Standard for Minimal BASIC (X3.60-1978) and a significant subset of the ANSI Standard for Full BASIC (X3.113-1987), and many classic BASIC dialects in C. (Using Public Domain CauseWay DOS Extender)","basic, quickbasic, qbasic",,DOS,"GNU General Public License, Version 2",ce2caba03b495dc037912e67d6d64b6062b49c668be328641cff0c9ab8c22a1d
bz2,BZIP2,BZIP2 compression program,,"bzip, bunzip, zip, unzip, packer",,"DOS, FreeDOS, Linux, Windows","Open Source, see license file",7b614c3df80322ba5ed7721650761b5eab592c1a9334a4d85d492381d5b5aca7
cabext,CABExtract,CABExtract can extract files from a variety of Microsoft CAB formats.,,"cab, compressed, archive",,DOS,"GNU General Public License, Version 3",b5cacfd94d56be8c55703ebd79258e970e1fb6c39dbeffdf929c7ce9e9762c53
cal,cal,"Calendar program, akin to UNIX 'cal'",,freedos,,dos,Freeware with source,1162fd8a16abd381e1b07dabf039d0f673da4fc0539edd5844dd12f259e31736
calc387,CALC387,"tiny (1K) command-line calculator, requires a 387+ FPU",,calc,,dos,Freeware w/sources,9215ab8108387d05704cb4f542a17ff246c73b206d496cedfcaff02318f5c0ef
callver,Callver,Sets DOS version while executing one program.,,Dos FreeDOS setver dosver callver version,,DOS (nasm),Public Domain,2a8010547632622d13a0077b91563c33fcf3e1c9c2190e7d9e83c5dde7797fef
causeway,CauseWay,CauseWay DOS extender,The CauseWay DOS extender. Provides support for application to use protected mode. (Similar to DOS4GW.),"dos, dos4gw, asm, watcom, extender",,DOS,Public Domain,2e140a4a956231e14b5f3c196ac9c28f04c931e6968499372e5b3c3e679f152a
cdogs,C-DOGS,C-DOGS is a sequel of Cyberdogs (walk around nuking bad guys),,,,dos,Free w/Sources,0df0adc807e652aefbfae9e6af6ce603dee4908c2decf01e724b0efe5cf2449c
cdp,CDP,the command line driven audio CD player for DOS,,"cdp, audio, cd-rom",,"DOS, FreeDOS",Freeware,e6f9ee79dea40faa91a39f2d11979125181664d8d7496b0686c5de6387d3cd6d
cdrcache,cdrcache,"CD-ROM cache, caches reads for one drive, XMS, 386 or better",,"cache, freedos, smartdrv, cd-rom",,,"GNU General Public License, Version 2",245ab1d62bab1950c6b9bc9a7fc9538debceb34b0aef6bcc343cc55c709e1aa4
cdrom2ui,cdrom2ui,"A small tool to eject, close_track, lock, unlock or reset any CD-ROM, selected by the drive letter.",,"freedos, cd-rom",,,"GNU General Public License, Version 2",c04c7f9d2ea4bf369f73604d901b0bd8e561fe7951400e99c4ef71302dd823c1
chicken2,Chicken 2,shooting game involving chickens,,,,DOS,Emailware,eb8d733eb194e7b0e124726e251adb445be4b9548e7f48dfc569142407e351d2
chkdsk,CHKDSK,Check the disk for errors.,,Check disk errors,,"DOS, FreeDOS","GNU General Public License, Version 2",5018303e9f8943e5b3bbcfee3330a5ebbe4159a0230d0dd26ba02ddcc7276c75
choice,choice,Present a choice to the user and wait for a key (uses kitten instead of cats),,freedos,,DOS **requires KITTEN,"GNU General Public License, Version 2",58fdb663b7bf4443afdf6d692a265af7db48f40d875e3139d0d593cb50fa5a53
clamav,Clam Anti-Virus (ClamAV),ClamAV scans files and directories for viruses,,"clamav, av, anti-virus, virus",,"Unix, Windows, BeOS, DOS","GNU General Public License, Version 2",0b1539773ba7819963acdc930d3fc2182380e2a7f17e66c0fe17abc443b39195
clamdb,Clam Anti-Virus Database,The Virus database for ClamAV,,"clamav, av, anti-virus, virus, db, database",,Platform-independent,"GNU General Public License, Version 2",adfc3d082c8f7f31f2a2d16b1198df4c545909c4543e686923b21ddc571bb5dc
command,FreeCom,The FreeDOS Command Shell,,freecom freedos command shell,,dos dosemu,"GNU General Public License, Version 2",a3bbb02facd48ea2b3e5f927420d9d8865d89cf575e6b5720277cf5835f84a4e
comp,COMP,Compare files and display their differences,,"compare, comp, file compare",,"DOS, FreeDOS",MIT license,db613e09a0e8b385ebee6122b56b02571a75a1900f403f94997f9af78327de21
cpidos,CPI (Code Page Information) Package,"Package of DISPLAY-type, UPX-compressed CPI files with various DOS codepages.",,"display, codepage, code page, cp, dos codepage, dos cp, charset",,FreeDOS,"GNU General Public License, Version 2",a921fccf3ff7e46356eea6d1f3176c51bc458a56d9d4a3bcd2372b466a12f38e
cpied,cpied,a GUI-driven CPI font editor,,"cpi,cpx,font,editor",,DOS,"GNU General Public License, Version 3",d7b12d3f20954dfef2d6ef9e9cbd4b18e0ffac22e1b2766596210a056682b0a0
cpp2ccmt,cpp2ccmt,A C++ to C comment converter.,,comments,,DOS,"GNU Lesser General Public License, Version 2.1",9a96ba89ff873c55174555650978d0bfd7d372e5385523145f52f9b596c282bc
crc32,CRC32,calculates the standard 32-bit CRC checksum of files,,crc32,,dos,Public Domain,573188666dd4f5d7a686ba8f964993f7f81c80ed2a70792815d5960c4fb803d7
crynwr,Crynwr,A collection of free packet drivers from the Crynwr company,,packet,,DOS,Open source,bdb821a5786dee954f239f350860eef4859c781130683321256d0b7b5c616383
