id,new,title,description,summary,keywords,platforms,copying-policy,sha
4dos,,4DOS,4DOS ersÑtter standardkommandotolken som kommer med ditt operativsystem. (4DOS ersÑtter COMMAND.COM fîr DOS),,"command.com, skal, interaktivt",DOS,Modifierad W3C-licens,f2676caee23487b56c2b1f52c40a2916aadad52686fa93555fff476e214c0cd0
7zdec,,7zdec,uppackare fîr .7z-filer,"listen, fristÜende dekomprimerare fîr 7-Zip-arkiv (med ANSI C-kÑllkod)","7z, 7zdec, 7zdecode, arkiv","DOS, Windows, *nix",public domain,49ff5e664771b446081dec82c7c7f970a45bea50fb0a04c00b212e293351f609
adplay,,AdPlay,musikseplare fîr flera format som anvÑnder OPL2/3-ljud,,"adplay,adplug",DOS,zlib/libpng-licens,1bb5d7deedb974792c25ddcac27bd665c600480a7d4fdece0bcc6a17edfae72f
adt2,,Adlib Tracker 2,tracker fîr att komponera FM-musik fîr OPL3,,"tracker,adlib,opl3",DOS,Fair-licens,13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,,aefdisk,Kommandoradsdrivet diskpartitioneringsverktyg fîr DOS (portat fîr Open Watcom),,dos fdisk partition,DOS,"GNU General Public License, Version 2",f1452c867843f7d55431aa7dbab87d25dfe4f4fd8e7aec5bf5933d9abffbda1a
ambhelp,,FreeDOS-hjÑlp (AMB),FreeDOS-hjÑlpfiler i AMB -ormat,,"freedos, hjÑlp, dokument, text, amb",DOS,"GNU Free Documentation License, Version 1.1",26f9d683626f5edf54dc3a530627fa7924607a7ab295c5dba839da1eb365f30a
ambpack,,AMB Packager,arkivprogram som packar/packar upp AMB-filer (Ancient Machine Book),,"text, dokument, arkiv",DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,AMB Reader,lÑsare fîr Ancient Machine Book-formatet,"AMB Ñr en lÑsare fîr AMB-filer, som stÜr fîr Ancient Machine Book. Det Ñr ett extremt lÑttviktigt filformat menat fîr att spara alla typer av hypertext-dokument som bekvÑmt kan lÑsas pÜ Ñven de mest forntida datorerna: tekniska manualer, bîcker, osv. TÑnk pÜ det som en retro-variant av en *.CHM-hjÑlpfil.","text, dokument, lÑsare",DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,ANSiMat Ñr en grafisk visare fîr ANSI-filer. Den kan ocksÜ anvÑndas fîr att konvertera ANSI-filer till vanliga grafikfiler (BMP/PCX/PPM/TGA/TIF) eller FLiC-animationer (FLC.,,"ansi, visare",DOS,"GNU General Public License, Version 3",c4921f96c48b6de44c4ed57d578747d88a7c6d188dd2bf7e153811d132daa03c
apack,,aPACK,Komprimerare fîr kîrbara 16-bitars DOS-filer,Komprimerare fîr kîrbara 16-bitars DOS-filer. aPACK komprimerar filen men lÜter den fîrbli kîrbar. aPack anvÑnder avancerad kompressionsheuristik och trick fîr att Üstadkomma det bÑsta kompressionsfîrhÜllandet. aPACK har rankats som en av de bÑsta komprimerarna fîr 16-bitars DOS-filer i Üratal.,komprimerare kîrbara filer,DOS,Fri programvara,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
