id,new,title,description,summary,keywords,platforms,copying-policy,sha
4dos,,4DOS,"4DOS, iületim sisteminizle beraber gelen komut yorumcusunun yerine geáer. (4DOS, DOS iáin COMMAND.COM'un yerine geáer)",,"command.com, kabuk, etkileüimli",DOS,"Deßiütirilmiü W3C Lisansç",2a60bde53e9ea2c5b740429dc559a5258763c928e402022d30c21745334b0836
7zdec,,7zdec,".7z dosyalarç iáin arüiv aáçcç","7-Zip arüivleri iáin kÅáÅk, baßçmsçz aáçcç.","7z, 7zdec, 7zdecode, arüiv araálarç","DOS, Windows, *nix","Kamu malç",39460f310e4d3e7e135fa29963132e1a7eaeece29fa1c3efed35494c02bc36b4
adplay,,AdPlay,"OPL2/3 ses kullanarak áoklu biáimde mÅzik áalçcç","OPL2/3 ses kullanarak áoklu biáimde mÅzik áalçcç.","adplay,adplug",DOS,"zlib/libpng Lisansç",4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366
adt2,,"Adlib Tracker 2","OPL3 FM mÅzik bestelemek iáin izleyici",,"izleyici,adlib,opl3",DOS,"Fair License (Adil Lisans)",13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,,aefdisk,"Komut satçrç arayÅzlÅ disk bîlÅmleme aracç","DOS iáin komut satçrç arayÅzlÅ disk bîlÅmleme yardçmcç programç (Open Watcom iáin taüçnmçütçr)","dos fdisk bîlÅm",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",2ba7c24edb8b4f1fd4513b671cd919f2b9a0666784c46836a946ba3ab64d0c51
ambhelp,,"FreeDOS Help","AMB biáiminde FreeDOS yardçm dosyalarç","AMB biáiminde FreeDOS yardçm dosyalarç. AMB dosya biáiminde yardçm dosyalarçnç okumak iáin AMBREAD paketinden ayrçca AMB reader programçnç kurun. ","freedos, yardçm, doc, metin, amb",DOS,"GNU ôzgÅr Belgeleme Lisansç, SÅrÅm 1.1",f5bf51c293c9906b37c6c5b63860571f1f54c54a3c1455d1708df192fd66acfe
ambpack,,"AMB Packager","AMB (Ancient Machine Book) dosyalarçnç paketleyen ve aáan arüiv yîneticisi",,"metin, doc, arüiv yîneticisi",DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,"AMB Reader","Ancient Machine Book biáimi gîrÅntÅleyicisi","AMB AMB (eski makine kitabç) dosyalarçnçn okuyucusudur. AMB 'eski makine kitabç' anlamçna gelir. En eski PC'lerde bile rahatáa gîrÅntÅlenebilecek her tÅr metin belgesini saklamak iáin aüçrç hafif bir dosya biáimidir: teknik kçlavuzlar, kitaplar vs.","metin, belge, gîrÅntÅleyici",DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,"ANSI dosyalarç iáin grafik gîrÅntÅleyici","ANSiMat, ANSI dosyalarç iáin grafik bir gîrÅntÅleyicidir. ANSI dosyalarçnç alçüçlagelmiü (BMP/PCX/PPM/TGA/TIF) grafik dosyalarçna veya FLC (FLiC) canlandçrmalarçna dînÅütÅrmek iáin de kullançlabilir.","ansi, gîrÅntÅleyici",DOS,"GNU Genel Kamu Lisansç, 3. SÅrÅm",eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0
apack,,aPACK,"DOS 16-bit áalçütçrçlabilir sçkçütçrçcç","16 bit DOS áalçütçrçlabilir sçkçütçrçcç. aPACK, áalçütçrçlabilir tutarken dosyayç sçkçütçrçr. aPACK, en iyi sçkçütçrma orançnç elde etmek iáin geliümiü sçkçütçrma sezgisi ve pÅf noktalarç kullançr. aPACK, yçllardçr en iyi 16 bit DOS áalçütçrçlabilir paketlerinden biri olarak kabul edildi.","executable packer",DOS,Freeware,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
append,,APPEND,"Dosyalara gÅncel dizindeymiü gibi eriüin","APPEND, programlarçn belirtilen dizinlerdeki veri dosyalarçnç gÅncel dizindeymiü gibi aámalarçna imkÉn verir.","freedos, ekle, data, dosyalar, dizinler","DOS (nasm)","GNU Genel Kamu Lisansç, 2. SÅrÅm",e6d494992b1a5950db3218cafae9025f49842786af2c3c8e96a4490439ce8197
arachne,,Arachne,"Hem 8086 hem de i386 iáin ònternet tarayçcçsç","Hem 8086, hem de i386 sÅrÅmÅ bulunan bir DOS ònternet tarayçcçsç.","aß, www, tarayçcç",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",b0f1fd2efd113cf72872efeebfde7d02475488715ab870f795691dd364bdaec5
arj,,ARJ,"Aáçk kaynaklç ARJ arüiv yîneticisi.",,,DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",932b722d7c4e3f94704774b4ea54d53d99808e2bcfb5410346fbfe6819158709
assign,,assign,"SÅrÅcÅlere yeni harfler ata","Farklç bir sÅrÅcÅye sÅrÅcÅ harfi ata","freedos, assign",dos,"GNU Genel Kamu Lisansç, 2. SÅrÅm",be4ee0d564b2695a9595891264f6f19d56d975427df0cc91ba3da2a23e2d1f2a
atapicdd,,ATAPICDD,"Kamu malç ATAPI (IDE) CD-ROM DOS cihaz sÅrÅcÅsÅ",,"DOS CD-ROM cihaz sÅrÅcÅsÅ","DOS (NASM/TASM)","Kamu malç",500a557e1aab84fc6f609c631a251792c44408242cdda8d654dc08e88ddd0ba8
attrib,,attrib,"Dosya îzniteliklerini gîrÅntÅle ve ayarla","Dosya îzniteliklerini gîrÅntÅle ve ayarla.","freedos, attrib",dos,"GNU Genel Kamu Lisansç, 2. SÅrÅm",e3bf5b785f4d41a9ebd07dc3f61fb2350a27a5ed9d420145acad6863145ba2b9
b64,,b64,"Base64 òáerik Aktarma Kodlamasç","RFC1113 tarafçndan tançmlanan Base64 òáerik-Aktarçm-Kodlamasç standardçnç uygulayan yardçmcç program.","b64,base64",DOS,"MIT Lisansç",a098c8132f6ca962ed7d258aa60e76201b65f38bde0ac751e713fd2903e55d24
basec,,basec,"BASic Emulation Compiler (BASEC) bir p-code derleyicisidir.",,"basic, programlama","DOS (djgpp), Sparc-Sun-Solaris, OpenBSD, SGI-IRIX, Linux(x86)",GPL,b6535a5c6a8887f158fed4a0a19507c29c5fd0abc60455568cd91386fdf47707
batt,,batt,"GÅncel gÅá ve pil durumu hakkçnda bilgi gîrÅntÅleyen kÅáÅk bir program","BATT, mevcut gÅá ve batarya durumu (kalan üarj ve áalçüma sÅresi) hakkçnda bilgi gîrÅntÅlemek iáin kÅáÅk bir programdçr, bu da mobil ortamlarda kritik olabilir ancak DOS ile áalçüçrken kolayca bulunamayabilir, geliümiü gÅá yînetimi BIOS arayÅzÅ aracçlçßçyla kolayca temin edilebilir olsa bile. Sade DOS altçnda áalçüacak üekilde tasarlanmçütçr ve MS Windows ile áalçümayabilir.","dos, apm, pil, gÅá",DOS,"'Deßiütirilmiü' BSD Lisansç",0170830ccde1a585897d4ed5904c5c17c00cb80bf590a892d1503c0b67bac374
bcc,,"bcc - Bruce's C compiler","KÅáÅk modeller iáin 8086 assembler Åreten sade C derleyicisi.","Bruce'un C derleyicisi, kÅáÅk modeller iáin 8086 assembler Åreten sade bir C derleyicisidir.","K&R,C89,C,derleyici",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",d0fb57da0ed806888270c3b46ae7d0d8d54da2bb0896b6d68dc0a66752243bf0
biew,,Biew,"Biew, bir ikili/onaltçlç gîrntÅleyici/dÅzenleyicidir","Biew, bir ikili/onaltçlç gîrntÅleyici/dÅzenleyicidir. (i686+ gerektirir)","Biew, ikili, onaltçlç, gîrÅntÅleyici, dÅzenleyici",DOS,"GNU Genel Kamu Lisansç",37c9334ac4bfbb6d484a432538bd0abd33dacdc2cb36d3b49035e13cce428b86
bin2asm,,Bin2Asm,"òkili bir dosyayç assembly dili verilerine dînÅütÅren sade bir program",,"dos geliütirme",DOS,"3 Koüullu BSD Lisansç",5a1719cbf8e9addcec6b652abf8e8ad036256aa6afd20d863eefa8958b1ba130
bin2c,,bin2c,"BIN dosyalarçndan C'ye kaynak oluüturucu",,"freedos, bin, c, dînÅütÅr",dos,GPL,eb8e1fd8125ab9897a1c76ba5ea4d7878de60a267f0a1af862301208f5d7cb22
bladeenc,,BladeEnc,"AV/AIFF/RAW verilerinden MP3 oluütur","Blade'in MP3 Kodlayçcçsç WAV/AIFF/RAW verilerinden MP3 oluüturur","mp3, kodlayçcç",DOS,"GNU Kçsçtlç Genel Kamu Lisansç, SÅrÅm 2.1",55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blkdrop,,BlockDrop,"DÅüen bloklara dayalç bir oyun","DÅüen bloklara dayalç ve Tetris ile hiábir alakasç olmayan bir oyun. (Fare ve 386+ iülemci gerektirir)","oyun, blok",DOS,"3 Koüullu BSD Lisansç",55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blocek,,Blocek,"Unicode ve resim biáimleri destekli grafik metin dÅzenleyicisi","Unicode ve resim biáimleri destekli grafik metin dÅzenleyicisi.","dÅzenleyici, unicode",DOS,"GNU Genel Kamu Lisansç",bf05e6785010909e67949ea77fcebf60f5020e11a7c1500bb4faaca90785b1a8
blwcbc,,BLW-CBC,"DOS Blowfish ûifreleme Programç (kaynaklarla birlikte)","CBC MODUNDA BLOWFISH v1.5a, Dr Dobb's, Nisan 1994'te tarif edildißi gibi Blowfish üifre algoritmasçnçn bir T-Pascal 7.0 uygulamasçdçr. Bu Arüiv, Blowfish Birimi kaynaklarçnç, BlowFish-CBC Birimi kaynaklarçnç ve bir BLW-CBC Birimi kullançm programlamasç demosu iáerir. Algoritmançn yazarç Bruce Schneier'e teüekkÅrler.","dos blowfish cipher üifreleme",DOS,"Kamu malç",f1986e7b4da1ddd41464f23b5f5163f7e7570b0e9b31bc1ea2f32a97db339567
bmp2png,,bmp2png,"BMP resimleri PNG biáimine dînÅütÅrÅn","BMP resimleri PNG biáimine (ve tersine) deßiütirmeye imkÉn saßlayan komut satçrç aracç","bmp,png",DOS,"Freeware (kaynak kodu ile)",e6d7a9c33da6be71042987c6426319e254cc585a9183e593a9bef5c7ff0d31f5
bolitare,,Bolitaire,"Bir Freecell kart oyunu","DOS iáin bir Freecell kart oyunu.",,,"GNU Genel Kamu Lisansç, 2. SÅrÅm",7bcbb8a91b5cb075b5d89beafe0e2b9b22e08e5bb359af8dc828fe21fc5f739f
boom,,Boom,"Doom kaynak kodunun GPL taüçmasç","Doom kaynak kodunun GPL taüçmasç. Tam oyun deneyimi iáin FreeDoom ile paketlenmiütir.","doom,boom,freedoom",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",2535cd8878ee776c4055e0b361f16a0447b69612596942b2b26ecb5b98cde827
bootfix,,Bootfix,"Bootfix, bir înyÅkleme sektîrÅ dÅzeltme aracçdçr.","Bootfix, bir înyÅkleme sektîrÅ sçnama ve dÅzeltme aracçdçr.","Bootfix, baülatma, sektîr, mbr, disk",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",63139a5ac66c8ad9603643062e62e398a5f7561bb794db8c80854fb6bb2627a7
bootmgr,,"multi-BOOT ManaGeR","Äoklu sabit disklerden, bîlÅmlerden veya disketten înyÅkleme yapçn",,"dos, baülatma",DOS,"'Deßiütirilmiü' BSD Lisansç",d3f414ca45f74da7a360e6bd3c5753b0cf681096a58c63d92b1cdcc7cf3f3700
bsdtail,,"BSD tail","Dosyalarçn son bîlÅmÅnÅ gîrÅntÅleyin.","'TAIL'in 5.2 sÅrÅmÅnÅn BSD 4.3 sÅrÅmÅnden doßrudan taüçmasç","tail, unix, bsd, dosya","DOS, FreeDOS","BSD Lisansç",c3d34e507b4220a80cd3fb72dd1f0fcebb14e373f1bc160f7426a48abe399096
bsum,,BSUM,"Dosyalarçn BSD saßlamalarçnç hesaplar","bsum, dosyalarçn BSD saßlama toplamçnç hesaplayan kÅáÅk bir araátçr (256 bayt!)",dos,DOS,"MIT Lisansç",ea4e3048965b03be175eaf737323cf308c37ea44ecbe41f1e79f0940bf9d684e
btitanic,,"Beyond the Titanic","Metin tabanlç Infocom tarzç bir macera oyunu.",,,DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",8d0098a28b8ddf2d7c9e44ea364ba774ac653414d4e133490fd66f9816cfb1ed
bwbasic,,"Bywater BASIC","Bywater BASIC yorumlayçcçsç","Bywater BASIC Yorumlayçcçsç (bwBASIC), Asgari BASIC (X3.60-1978) iáin ANSI Standardçnçn bÅyÅk bir Åst kÅmesini ve Tam BASIC (X3.113-1987) iáin ANSI Standardçnçn înemli bir alt kÅmesini ve biráok klasik BASIC leháesini C dilinde uygular. (Kamu alançna bçrakçlmçü CauseWay DOS Geniületicisi kullançr)","basic, quickbasic, qbasic",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",07a8bcd91f570c6d73fd35604fb1d7797eb945fbd4e416067bad60a04011cccf
bz2,,BZIP2,"BZIP2 sçkçütçrma programç","BZIP2 sçkçütçrma programç.","bzip, bunzip, zip, unzip, paketleyici","DOS, FreeDOS, GNU/Linux, Windows","ôzgÅr Yazçlçm, license.txt dosyasçna bakçn",298ede87baddf4e6a2261f69f4931167bcc02d5f7b68f7258d500149f2b22554
cabext,,CABExtract,"Äeüitli CAB biáimlerinden dosya áçkar","CABExtract, áeüitli Microsoft CAB biáimlerinden dosya áçkarabilir.","cab, sçkçütçrçlmçü, arüiv",DOS,"GNU Genel Kamu Lisansç, 3. SÅrÅm",92a3f403c45e38ec650947458aae032e0083c8de3754d059f04509ee1fcf3dd2
cal,,cal,"UNIX 'cal' gibi bir takvim programç","UNIX 'cal' programç gibi bir takvim programç.",freedos,dos,"Kaynak kodu bulunan Freeware",25b5c67f87aa5b5ffbc2b4a426cae9e87b192ac1db4b22d618f345d0dcbd65d4
calc387,,CALC387,"kÅáÅk (1KB) komut satçrç hesap makinesi, 387+ bir FPU'ya ihtiyaá duyar",,hesap,dos,"Kaynak kodu bulunan Freeware",9215ab8108387d05704cb4f542a17ff246c73b206d496cedfcaff02318f5c0ef
